PUBLICATION_DATE,SITE_ID,UID,DATE_COL,VISIT_NO,AGKFFACT,BFI,CANALDENS,CAO,CBNF,CLAY,COALMINEDENS,COMPSTRGTH,DAMDENS,DAMNIDSTOR,DAMNRMSTOR,ELEV,FE2O3,FERT,HUDEN2010,HYDRLCOND,INORGNWETDEP_2008,K2O,KFFACT,MANURE,MERCDEP,MGO,MINEDENS,N,NA2O,NABD_DENS,NABD_NIDSTOR,NABD_NRMSTOR,NH4_2008,NO3_2008,NPDESDENS,OM,P2O5,PCTAG2006SLP10,PCTAG2006SLP20,PCTALKINTRUVOL,PCTALLUVCOAST,PCTBL2006,PCTBL2011,PCTCARBRESID,PCTCOASTCRS,PCTCOLLUVSED,PCTCONIF2006,PCTCONIF2011,PCTCROP2006,PCTCROP2011,PCTDECID2006,PCTDECID2011,PCTEOLCRS,PCTEOLFINE,PCTEXTRUVOL,PCTFIRE2000,PCTFIRE2001,PCTFIRE2002,PCTFIRE2003,PCTFIRE2004,PCTFIRE2005,PCTFIRE2006,PCTFIRE2007,PCTFIRE2008,PCTFIRE2009,PCTFIRE2010,PCTFRSTLOSS2001,PCTFRSTLOSS2002,PCTFRSTLOSS2003,PCTFRSTLOSS2004,PCTFRSTLOSS2005,PCTFRSTLOSS2006,PCTFRSTLOSS2007,PCTFRSTLOSS2008,PCTFRSTLOSS2009,PCTFRSTLOSS2010,PCTFRSTLOSS2011,PCTFRSTLOSS2012,PCTFRSTLOSS2013,PCTGLACLAKECRS,PCTGLACLAKEFINE,PCTGLACTILCLAY,PCTGLACTILCRS,PCTGLACTILLOAM,PCTGRS2006,PCTGRS2011,PCTHAY2006,PCTHAY2011,PCTHBWET2006,PCTHBWET2011,PCTHYDRIC,PCTICE2006,PCTICE2011,PCTIMP2006,PCTIMP2011,PCTMXFST2006,PCTMXFST2011,PCTNONAGINTRODMANAGVEG,PCTNONCARBRESID,PCTOW2006,PCTOW2011,PCTSALLAKE,PCTSHRB2006,PCTSHRB2011,PCTSILICIC,PCTURBHI2006,PCTURBHI2011,PCTURBLO2006,PCTURBLO2011,PCTURBMD2006,PCTURBMD2011,PCTURBOP2006,PCTURBOP2011,PCTWATER,PCTWDWET2006,PCTWDWET2011,PCVPY,PCVPY_PT,PERM,PESTIC97,PIP,PIP_PT,POPDEN2010,PRECIP8110,PSUM6M,PSUM6M_PT,PSUMPY,PSUMPY_PT,RCKDEP,RDCRS,RDDENS,RUNOFF,S,SAND,SIO2,SN_2008,SUPERFUNDDENS,TIP,TIP_PT,TMAX8110,TMEAN8110,TMEANPW,TMEANPW_PT,TMEANPY,TMEANPY_PT,TMIN8110,TRIDENS,WETINDEX,WSAREASQKM,WTDEP
6/23/2021,NLA17_AL-10001,238550,8/14/2017,2,0.045310174,34.03768007,1.021130402,3.777100603,0.980053958,25.96346659,0.658447327,72.90828539,0.013995893,247105.0155,208965.8337,196.1536323,2.502945679,4.824943564,28.49172988,0.661427422,3.641165234,1.541749461,0.270218156,26.75689248,14.48562929,1.720171803,0.001189194,0.177740277,0.539811433,0.009879454,245845.6127,208552.6208,2.467336844,7.654347677,0.001921005,0.599980366,0.146889417,3.008812473,0.381676247,0,3.414421698,0.640567344,0.816092314,6.790667538,0,0.6407567,18.43907917,18.5821419,2.082037341,1.997024638,29.72585338,28.72083297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.233894431,0.95004948,0.864756858,0.728708541,0.964539346,0.970154169,0.815384286,0.938968025,0.618305641,0.720730882,0.933550791,0.770194016,0.770086989,0,0,0,0,0,5.201392674,4.984933832,15.75572885,15.54709947,0.015510743,0.033902994,0,0,0,2.10745059,2.330886138,9.42639889,8.923147726,5.251926082,87.25072902,1.595844702,1.615348391,0,6.476665552,7.671190359,0,0.359966146,0.419786242,2.583847751,2.665221522,0.808905011,1.02455703,5.73499846,5.86696327,1.903425042,1.153203989,1.131757341,56.70852559,105.2555847,5.071589466,8.896022298,160.0743178,161.677002,62.24756465,1451.396943,116.1618903,113.5755005,96.996436,105.2555847,91.60588303,0.000394849,2.173361664,639.6785377,0.277996755,32.52962578,57.35109047,534.915681,0.002927246,22.88621604,23.8506012,32.19665937,16.20845476,9.620919505,11.18466759,18.3512992,19.50058365,-0.830967895,0.019118573,727.5553018,10931.778,17325.46038
6/23/2021,NLA17_AL-10001,230860,7/10/2017,1,0.045310174,34.03768007,1.021130402,3.777100603,0.980053958,25.96346659,0.658447327,72.90828539,0.013995893,247105.0155,208965.8337,196.1536323,2.502945679,4.824943564,28.49172988,0.661427422,3.641165234,1.541749461,0.270218156,26.75689248,14.48562929,1.720171803,0.001189194,0.177740277,0.539811433,0.009879454,245845.6127,208552.6208,2.467336844,7.654347677,0.001921005,0.599980366,0.146889417,3.008812473,0.381676247,0,3.414421698,0.640567344,0.816092314,6.790667538,0,0.6407567,18.43907917,18.5821419,2.082037341,1.997024638,29.72585338,28.72083297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.233894431,0.95004948,0.864756858,0.728708541,0.964539346,0.970154169,0.815384286,0.938968025,0.618305641,0.720730882,0.933550791,0.770194016,0.770086989,0,0,0,0,0,5.201392674,4.984933832,15.75572885,15.54709947,0.015510743,0.033902994,0,0,0,2.10745059,2.330886138,9.42639889,8.923147726,5.251926082,87.25072902,1.595844702,1.615348391,0,6.476665552,7.671190359,0,0.359966146,0.419786242,2.583847751,2.665221522,0.808905011,1.02455703,5.73499846,5.86696327,1.903425042,1.153203989,1.131757341,56.70852559,105.2555847,5.071589466,8.896022298,160.0743178,161.677002,62.24756465,1451.396943,116.1618903,113.5755005,96.996436,105.2555847,91.60588303,0.000394849,2.173361664,639.6785377,0.277996755,32.52962578,57.35109047,534.915681,0.002927246,22.88621604,23.8506012,32.19665937,16.20845476,9.620919505,11.18466759,18.3512992,19.50058365,-0.830967895,0.019118573,727.5553018,10931.778,17325.46038
6/23/2021,NLA17_AL-10002,238330,8/14/2017,1,0.051339808,48.66995779,1.460098734,14.1398006,0.729282098,30.77457339,0.019292866,108.7606128,0.033201677,128702.2647,108058.252,293.9786091,3.303790593,4.665099039,30.41392555,2.632405562,3.252083006,1.729204396,0.29769026,16.99404371,13.50357361,3.588532044,0.001994095,0.058444661,0.931452949,0.024028841,96704.30825,77060.09046,2.234742212,6.733559076,0.002143652,0.454522468,0.163489659,1.74748052,0.205976024,0,0.6394284,0.287122716,0.299604752,51.17329117,0,6.864177459,14.9238127,14.97514518,2.661365645,2.531843212,38.54799017,37.71547159,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40883E-05,0.902089556,0.849289917,0.722948564,1.182356575,0.798410591,1.009811051,0.900357685,0.881441703,0.522859108,0.7605876,0.78154055,0.734264054,0.598864027,0,0,0,0,0,4.18306579,3.733393946,13.59975226,12.98683585,0.017834684,0.078382877,0,0,0,2.19034611,2.534352137,7.886510926,7.590423757,2.466610891,34.16693471,1.837928169,1.846479844,0,3.611620066,4.650199921,5.452433192,0.292367684,0.404445776,2.793930069,2.971482766,0.709851848,0.968636485,7.728044707,8.37423907,1.703735067,0.918802563,0.873414973,61.34411172,91.66366577,4.491288496,12.74322586,150.0288921,183.4365997,73.59365737,1380.260551,111.1706104,115.0593338,86.97793771,91.66366577,121.1564491,0.000522657,2.263480416,635.7574979,0.166666089,28.13414727,47.76340057,493.564949,0.004586418,22.55087623,23.21280098,31.55512599,15.45610713,8.879404099,9.998333931,17.78967357,18.55500031,-0.98641782,0.019342719,757.6833859,20059.2279,16146.80708
6/23/2021,NLA17_AL-10003,231470,7/12/2017,1,0.060024481,36.16132037,0.001068108,10.60854032,1.153854181,28.34771024,0.260264996,31.30886778,0.026796782,104060.8278,82441.56098,124.8657834,5.06857438,5.187738576,15.01785774,22.09081052,3.712923092,1.757482229,0.290758228,8.84724457,13.20969928,1.542217716,0.001053806,0.481304316,0.802609382,0.013072213,105890.4648,85223.96995,2.440819692,8.062094357,0.000978534,0.594677247,0.150564019,1.060852217,0.113176508,0,22.70711776,0.248948123,0.315252092,20.40047941,0,0.175750004,14.75229443,14.78372118,5.790816871,5.616597896,24.85234315,23.79700083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.364687073,1.135348775,1.019469254,0.99667543,1.334116161,1.202987314,1.200189459,1.266114058,0.901320287,1.05977056,1.210597299,1.163130865,1.143182317,0,0,0,0,0,3.045619827,3.128841899,14.05342006,13.76868017,0.553548494,0.633123645,0,0,0,1.264180309,1.403111355,9.417028865,8.513089118,12.89582619,56.19457173,1.875454807,1.888856961,0,9.315109264,11.15717046,0,0.16586154,0.200009371,1.498270535,1.584823387,0.464443926,0.588351191,4.676588627,4.806818727,0.522081094,9.290251485,9.217663068,55.23550378,86.57883453,4.514820102,14.437644,146.3751833,175.9597931,33.1404032,1425.65966,113.397462,118.8991699,91.50779476,86.57883453,130.8037865,0.000379077,1.685309834,607.2244285,0.290766283,31.19322564,50.86747359,519.9083386,0.001430165,23.49092029,23.9348011,32.79385909,16.68451275,10.18692391,11.42700005,18.85589331,19.49808502,-0.348098761,0.010814057,804.6472168,39855.5325,134.7055608
6/23/2021,NLA17_AL-10004,238900,8/16/2017,2,0.002480828,33.96165644,0,0.885900974,0.033358896,22.81939801,0,9.413935661,0.426039536,404643.6605,404643.6605,66.03890337,9.899159431,0.378067485,3.744372751,7.788012981,3.18028932,2.202724934,0.228999233,0.366947853,12.71184093,1.295243025,0,0.798175991,1.101140022,0.426039536,404643.6605,404643.6605,1.951266174,7.386582361,0,0.29493865,0.133669004,0,0,0,0,0,0,0,0,0,32.6303681,30.55981595,0.115030675,0.115030675,2.300613497,2.300613497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345092025,0.306748466,2.032208589,0,0.306748466,0,1.993865031,0.728527607,0.383435583,0,0.23006135,0,0,0,0,0,0,2.185582822,0,0.996932515,0.996932515,0,0,0,0,0,0.083588957,0.083588957,40.10736196,39.11042945,25.61349693,100,13.03680982,13.03680982,0,6.288343558,11.54141104,0,0,0,0,0,0,0,1.687116564,1.687116564,0,0.651840491,0.651840491,67.52004602,109.217247,7.039980828,3.46505953,218.2589506,214.2942047,7.780729784,1482.18811,125.3778687,124.7648315,105.719083,109.217247,152.4,0,0.911448261,553,0.030199001,43.6967523,63.86904526,457.3777708,0,24.11589601,24.10120201,33.40832143,18.26873961,12.9193015,12.88766766,20.11827158,20.07566833,1.67799084,0,821.6805982,2.3472,144.5909931
6/23/2021,NLA17_AL-10004,232150,7/14/2017,1,0.002480828,33.96165644,0,0.885900974,0.033358896,22.81939801,0,9.413935661,0.426039536,404643.6605,404643.6605,66.03890337,9.899159431,0.378067485,3.744372751,7.788012981,3.18028932,2.202724934,0.228999233,0.366947853,12.71184093,1.295243025,0,0.798175991,1.101140022,0.426039536,404643.6605,404643.6605,1.951266174,7.386582361,0,0.29493865,0.133669004,0,0,0,0,0,0,0,0,0,32.6303681,30.55981595,0.115030675,0.115030675,2.300613497,2.300613497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345092025,0.306748466,2.032208589,0,0.306748466,0,1.993865031,0.728527607,0.383435583,0,0.23006135,0,0,0,0,0,0,2.185582822,0,0.996932515,0.996932515,0,0,0,0,0,0.083588957,0.083588957,40.10736196,39.11042945,25.61349693,100,13.03680982,13.03680982,0,6.288343558,11.54141104,0,0,0,0,0,0,0,1.687116564,1.687116564,0,0.651840491,0.651840491,67.52004602,109.217247,7.039980828,3.46505953,218.2589506,214.2942047,7.780729784,1482.18811,125.3778687,124.7648315,105.719083,109.217247,152.4,0,0.911448261,553,0.030199001,43.6967523,63.86904526,457.3777708,0,24.11589601,24.10120201,33.40832143,18.26873961,12.9193015,12.88766766,20.11827158,20.07566833,1.67799084,0,821.6805982,2.3472,144.5909931
6/23/2021,NLA17_AL-10005,230830,7/11/2017,1,0,44,0,8.290693283,0,25.11,0,8.429624558,0.805736846,87459.7051,69570.21997,97.16394489,5.747592926,0,2.615570517,81.28816986,3.821123246,2.520819902,0.25,0,12.51043908,1.377583027,0,0.816704988,1.018368006,0,0,0,2.483526139,8.396298003,0,0.19,0.143437997,0,0,0,0,0,0,0,0,0,7.469180566,11.6751269,0,0,32.2697607,28.78897752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.07976795,1.957940537,0,7.179115301,0,0,0.435097897,8.701957941,0,0,2.175489485,0,0,0,0,0,7.396664249,7.686729514,0,0,0,0,0,0,0,0.137055838,0.137055838,33.35750544,30.16678753,17.69398115,100,3.118201595,3.118201595,0,12.03770848,14.21319797,0,0,0,0,0,0,0,3.843364757,3.843364757,0,0.507614213,0.507614213,47.45239639,82.82382965,6.3,0.150378316,139.1759949,139.1759949,4.425869921,1396.597384,96.37000275,96.37000275,82.82382965,82.82382965,152.4,0,1.227320901,592,0.456310004,40.89,54.2671814,530.0243476,0,24.04540062,24.04540062,33.30311751,16.89446787,10.78999996,10.78999996,19.38000107,19.38000107,0.003118202,0,700.6330674,1.2411,165.27
6/23/2021,NLA17_AL-10008,232160,7/13/2017,1,0,26,0,5.259856495,0,33.9128266,0,4.667950363,0.879739597,690149.8021,690149.8021,76.38551861,4.158021357,0,4.635216332,6.538709486,2.769886663,2.365565949,0.266745843,0,10.98889811,2.465881731,0,0.797394861,1.238070765,0.879739597,690149.8021,690149.8021,1.61827233,6.706456261,0,0.47111639,0.163654522,0,0,0,0,0,0,0,0,0,32.69992082,33.01662708,0,0,17.73555028,17.73555028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079176564,13.93507522,0,1.346001584,2.137767221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380047506,0.380047506,17.26049089,17.26049089,27.15756136,100,14.17260491,14.17260491,0,10.37212985,10.05542359,0,0,0,0,0,0,0,6.017418844,6.017418844,0,1.741884402,1.741884402,75.83382416,99.29108429,3.477624703,2.82439805,163.5509949,163.5509949,8.630040934,1363.97036,116.4298325,116.4298325,99.29108429,99.29108429,146.066247,0,0.613682102,501,0.092703498,31.80870942,60.38732987,401.37264,0,23.94960022,23.94960022,24.33147377,17.82979188,11.71466732,11.71466732,19.55266762,19.55266762,11.31938584,0,412.53365,1.1367,158.9450594
6/23/2021,NLA17_AL-10018,238560,8/15/2017,1,0.005683494,35,0,2.766437907,0.057855927,25.11,0,19.55208747,0,0,0,186.0648327,6.830052941,0.588769144,31.33066435,29.82860045,3.17803062,2.560983043,0.267515598,0.272263188,11.83752913,1.802093731,0,0.828093855,1.179929348,0,0,0,1.968614641,7.312426828,0,0.19,0.163959255,0.397050482,0,0,0,0,0,100,0,0,10.38003403,10.20986954,0.907543959,0.907543959,46.28474192,45.88769144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113442995,0,0.340328985,0,0,1.644923426,0.056721497,0.22688599,0.170164492,0,0,0,0,0,0,0,0,3.516732842,3.516732842,1.020986954,1.020986954,0,0,0,0,0,2.933068633,3.321610891,5.78559274,5.33182076,0.170164492,0,7.487237663,7.487237663,0,5.899035735,6.920022689,0,0,0,4.367555303,3.857061826,0.22688599,2.779353375,14.12365286,12.08167896,0,0,0,52.65737396,97.01300049,6.3,1.548511017,167.3985619,165.1213989,81.40518831,1436.107666,117.9410415,117.9558334,97.89673581,97.01300049,152.4,0,4.000845627,592.1429382,0.473587595,40.42773681,62.03212754,462.9496266,0,23.7927111,23.80020142,23.65449106,17.25853991,11.26338591,11.27366734,19.55967119,19.56541824,10.86091772,0,404.0425411,1.5867,165.27
6/23/2021,NLA17_AL-10020,239180,8/17/2017,1,0.151070336,51,0,0.721316993,11.9266055,23.19,,0.743148029,,,,100.7697859,6.21714592,68.37920489,11.19644793,9.723428726,2.425497532,2.512923002,0.19,0.795107034,4.803305026,1.565871,0,0.771857977,0.945149004,,,,1.298293412,6.285828829,0,0.24,0.155367002,0.917431193,0,0,0,0,0,100,0,0,3.058103976,3.058103976,56.88073394,56.88073394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.62996942,22.62996942,0,0,0,0,0,1.4617737,1.4617737,0,0,2.752293578,0,0,0,0,10.09174312,10.09174312,0,0,0,1.529051988,1.529051988,0,0,5.810397554,5.810397554,0,0,0,89.18441421,125.4914169,6.62,441.5498352,141.4594735,148.2238007,26.04353177,1422.119263,145.5774246,146.4266663,122.0215542,125.4914169,152.4,0,1.521391431,493,0.03317,58.12,55.30331421,368.0207367,0,24.68867128,24.65100098,25.05523109,18.91175652,13.92581371,13.9090004,20.73282381,20.71633339,12.76652718,,856.8715596,0.29270657,1.5194E-08
